,count,mean,std,min,25%,50%,75%,max
"(0.0, 0.0, 0.1, 0.8, 0.0, 0.1)",1061.0,-1236.1836936231311,1725.4953303553743,-4937.057073599637,-3086.0512258235904,-95.06106812865983,166.79582351438694,511.0121145918565
"(0.0, 0.0, 0.1, 0.8, 0.1, 0.0)",1060.0,-1253.9471888686983,1717.4735273132771,-4939.379617569459,-3084.4325425540046,-120.21815676506958,136.78435205046662,490.7181866322153
"(0.0, 0.0, 0.1, 0.9, 0.0, 0.0)",1061.0,-1649.8806666699606,2127.728144937329,-6136.715877411247,-3999.478308333004,-133.45792577044267,75.78357629890888,331.151142440689
"(0.0, 0.0, 0.2, 0.0, 0.0, 0.8)",1060.0,1824.4816919745797,1610.9780254043062,-681.6660467856018,503.2092910443837,1355.159825193894,3095.4932098785685,6603.818731886982
"(0.0, 0.0, 0.2, 0.0, 0.1, 0.7)",1059.0,1837.9537084943274,1605.4553527293995,-654.708940286022,508.75514143605506,1377.5333368032461,3122.679328041475,6521.103120404241
"(0.0, 0.0, 0.2, 0.0, 0.2, 0.6)",1061.0,1837.6531380363183,1609.184543622874,-582.70246007881,525.2427023724158,1361.2302879593408,3141.9107010577573,6489.845561764279
"(0.0, 0.0, 0.2, 0.0, 0.3, 0.5)",1060.0,1814.6929162736094,1601.7761167273502,-658.9965006917555,472.68520956379507,1345.1875602496912,3108.22204793739,6499.877137885211
"(0.0, 0.0, 0.2, 0.0, 0.4, 0.4)",1060.0,1791.437591883795,1579.4350264022953,-610.3680979695018,495.68084842284134,1337.9957575824747,3056.4289089042704,6369.2262298095375
"(0.0, 0.0, 0.2, 0.0, 0.5, 0.3)",1060.0,1813.5370861053764,1594.095397057224,-622.1684622071116,503.96179345346354,1336.6420751017813,3107.921373236595,6411.648773756773
"(0.0, 0.0, 0.2, 0.0, 0.6, 0.2)",1060.0,1759.4822910099174,1589.080217385677,-638.8966626268339,448.4400980138071,1261.830146384449,3035.6579844603275,6388.778289053509
"(0.0, 0.0, 0.2, 0.0, 0.8, 0.0)",1059.0,1885.2101099105764,1663.6511980961566,-581.7106249097196,507.86349269343555,1398.771716398067,3205.3120863921104,6730.2482585196485
"(0.0, 0.0, 0.2, 0.1, 0.0, 0.7)",1060.0,1365.799641206101,1210.7266153308005,-651.4209815847207,409.609054228019,1072.3642405792016,2212.8784562655073,5663.09792377241
"(0.0, 0.0, 0.2, 0.1, 0.1, 0.6)",1061.0,1371.3676643641236,1192.5639962498697,-584.5570356940116,424.0926493224724,1072.542727959044,2207.7610716946074,5558.532616185388
"(0.0, 0.0, 0.2, 0.1, 0.2, 0.5)",1060.0,1445.6091316615843,1210.5671821561223,-476.6097121275634,512.9758348959731,1142.8132404306234,2289.4052293339737,5634.347031752281
"(0.0, 0.0, 0.2, 0.1, 0.3, 0.4)",1061.0,1339.6684167227456,1184.5681963763964,-565.7961075644125,408.5064243579418,1022.292345822776,2166.4611184756504,5412.559171933775
"(0.0, 0.0, 0.2, 0.1, 0.4, 0.3)",1059.0,1290.356011761459,1155.3192072136371,-603.4330020258312,378.08130690448615,968.4979633158946,2081.851088302961,5335.726174341922
"(0.0, 0.0, 0.2, 0.1, 0.5, 0.2)",1059.0,1374.7997010717913,1186.9985298386746,-493.2774169409786,443.2079069137635,1048.6163639046063,2215.191489404173,5473.3020957062545
"(0.0, 0.0, 0.2, 0.1, 0.6, 0.1)",1060.0,1358.0333582719704,1211.231492605247,-560.5753226170491,397.08073221781797,1049.8553751597337,2211.6148391379147,5443.786923408785
"(0.0, 0.0, 0.2, 0.1, 0.7, 0.0)",1060.0,1536.5276361372396,1246.031949797439,-404.2100083846344,558.3311757010711,1253.9852593478463,2414.6489523460496,5700.053227233839
"(0.0, 0.0, 0.2, 0.2, 0.0, 0.6)",1061.0,1008.5490974393703,876.5329867348445,-613.698941232702,341.4557658926751,821.464975826937,1495.1112904577458,4743.432415242973
"(0.0, 0.0, 0.2, 0.2, 0.1, 0.5)",1061.0,919.598358742243,842.1857575113148,-627.0656374997925,276.7038444313512,743.7283270894695,1386.214904265289,4555.7022483899345
"(0.0, 0.0, 0.2, 0.2, 0.2, 0.4)",1061.0,906.2181327021801,841.7429637422939,-595.2666925048616,258.549731856805,714.885800379052,1388.7171758510958,4523.419338381198
"(0.0, 0.0, 0.2, 0.2, 0.3, 0.3)",1059.0,900.154918593287,831.2675449687359,-625.4022090829967,273.03102730487626,723.4588583252662,1361.5001919632596,4515.516403514703
"(0.0, 0.0, 0.2, 0.2, 0.4, 0.2)",1061.0,930.5254190320163,836.6734161195315,-550.4823612679902,275.9275090909796,760.0311238892791,1418.6834439086015,4576.023488744773
"(0.0, 0.0, 0.2, 0.2, 0.5, 0.1)",1060.0,971.5708033899938,839.6554575126097,-457.1060570811969,330.88278734057985,800.9983497286803,1469.5304905572411,4547.871571106854
"(0.0, 0.0, 0.2, 0.2, 0.6, 0.0)",1061.0,969.698833835692,852.3831214081495,-453.0004471097345,321.5524727823322,788.3472375030651,1479.895930009072,4584.899218419523
"(0.0, 0.0, 0.2, 0.3, 0.0, 0.5)",1059.0,458.6721434674408,640.4919566550102,-1560.7786277073465,48.72049027103321,444.1382581137623,842.0101466469223,3631.6478828195977
"(0.0, 0.0, 0.2, 0.3, 0.1, 0.4)",1059.0,483.1712831485942,630.9148779147445,-1449.7726773337272,59.955223338490896,465.5168225140551,870.985643299603,3632.6987227615973
