,count,mean,std,min,25%,50%,75%,max
"(0.0, 0.0, 0.1, 0.3, 0.5, 0.1)",1060.0,-0.010918046168103226,0.0128549357337048,-0.06797637946980323,-0.016492667548483615,-0.006448104327612905,-0.0003110027205468322,0.0
"(0.0, 0.0, 0.1, 0.3, 0.6, 0.0)",1061.0,-0.009828667164680957,0.01218518456418136,-0.09522869710537728,-0.014660262954392442,-0.005616567796487082,0.0,0.0
"(0.0, 0.0, 0.1, 0.4, 0.0, 0.5)",1059.0,-0.010259243025867578,0.010556724265117477,-0.07160315804408632,-0.016881556202669734,-0.007394941874363623,-0.0010653115483141035,0.0
"(0.0, 0.0, 0.1, 0.4, 0.1, 0.4)",1059.0,-0.010830836865265958,0.012790364307862694,-0.09873901954302769,-0.016791216450175492,-0.006901293491705056,-0.0006082442471579202,0.0
"(0.0, 0.0, 0.1, 0.4, 0.2, 0.3)",1059.0,-0.009132030837396922,0.010816168139508371,-0.0791488634799485,-0.014321658367613576,-0.005721658742465328,-1.4264469793410907e-05,0.0
"(0.0, 0.0, 0.1, 0.4, 0.3, 0.2)",1059.0,-0.00804871554622834,0.010086689989582755,-0.09114623250606645,-0.012151122725002208,-0.0048259502035051804,-0.00023339755608014486,0.0
"(0.0, 0.0, 0.1, 0.4, 0.4, 0.1)",1059.0,-0.009407962228630199,0.011880333508413617,-0.08705431944173325,-0.013880982302681158,-0.005361766817037457,-1.1335291822565718e-05,0.0
"(0.0, 0.0, 0.1, 0.4, 0.5, 0.0)",1059.0,-0.008870267722706505,0.01031192813009733,-0.06408648778797875,-0.013621675249185346,-0.005384965748765636,-0.00041603154417385656,0.0
"(0.0, 0.0, 0.1, 0.5, 0.0, 0.4)",1061.0,-0.00877282453176679,0.010270053546741606,-0.07096901622492077,-0.013571896814454277,-0.0051572726021554445,-0.0004846990353645202,0.0
"(0.0, 0.0, 0.1, 0.5, 0.1, 0.3)",1060.0,-0.008455965065359245,0.01013091044361995,-0.07798325998062636,-0.013217070589530337,-0.005127490920072671,-0.00036653437352536305,0.0
"(0.0, 0.0, 0.1, 0.5, 0.2, 0.2)",1061.0,-0.007870616930133939,0.009299232096540384,-0.06987780684405939,-0.012409834585628946,-0.00502305538158057,-0.0004035182904557189,0.0
"(0.0, 0.0, 0.1, 0.5, 0.4, 0.0)",1059.0,-0.008396973249942196,0.010568734215273443,-0.06283275228940977,-0.012892611357795888,-0.004398894707371124,-9.643919021028669e-05,0.0
"(0.0, 0.0, 0.1, 0.6, 0.0, 0.3)",1059.0,-0.007050505376197816,0.008988865854919715,-0.08147790553321745,-0.011310703054343292,-0.004069974584461936,-0.00015367495873253506,0.0
"(0.0, 0.0, 0.1, 0.6, 0.1, 0.2)",1059.0,-0.007395043772112881,0.009516487381739528,-0.06496013479624475,-0.010913627268563387,-0.004128598873741945,-0.00034102320624275023,0.0
"(0.0, 0.0, 0.1, 0.6, 0.3, 0.0)",1060.0,-0.006395596734349202,0.006899632395647678,-0.04166338568645786,-0.009829817994652837,-0.004347722847774432,-0.00035564512467577917,0.0
